"prompt_index","prompt","model_name","difficulty","category","tech_stack","module_tags"
"1","实现用户认证与权限管理模块，支持管理员、评审人、提报人三种角色","gpt-5.4","困难","代码生成","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"1","实现用户认证与权限管理模块，支持管理员、评审人、提报人三种角色","gemini-3.1-p","困难","代码生成","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"1","实现用户认证与权限管理模块，支持管理员、评审人、提报人三种角色","DeepSeek-V4-Pro","困难","代码生成","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"1","实现用户认证与权限管理模块，支持管理员、评审人、提报人三种角色","Doubao-Seed-2.0-Code","困难","代码生成","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"1","实现用户认证与权限管理模块，支持管理员、评审人、提报人三种角色","GLM-5.1","困难","代码生成","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"2","创建创意提报与审批流程，支持草稿保存、提交审核、多级审批","gpt-5.4","困难","Bug 修复 / 调试","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"2","创建创意提报与审批流程，支持草稿保存、提交审核、多级审批","gemini-3.1-p","困难","Bug 修复 / 调试","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"2","创建创意提报与审批流程，支持草稿保存、提交审核、多级审批","DeepSeek-V4-Pro","困难","Bug 修复 / 调试","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"2","创建创意提报与审批流程，支持草稿保存、提交审核、多级审批","Doubao-Seed-2.0-Code","困难","Bug 修复 / 调试","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"2","创建创意提报与审批流程，支持草稿保存、提交审核、多级审批","Qwen3.6-Plus","困难","Bug 修复 / 调试","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"3","设计评审流转与多级审核机制，支持评分、评论和审批决策","gpt-5.4","困难","代码重构","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"3","设计评审流转与多级审核机制，支持评分、评论和审批决策","gemini-3.1-p","困难","代码重构","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"3","设计评审流转与多级审核机制，支持评分、评论和审批决策","DeepSeek-V4-Pro","困难","代码重构","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"3","设计评审流转与多级审核机制，支持评分、评论和审批决策","Doubao-Seed-2.0-Code","困难","代码重构","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"3","设计评审流转与多级审核机制，支持评分、评论和审批决策","MinMax-M2.7","困难","代码重构","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"4","开发项目落地跟踪与任务管理，支持项目创建、任务分配和进度追踪","gpt-5.4","困难","功能迭代","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"4","开发项目落地跟踪与任务管理，支持项目创建、任务分配和进度追踪","gemini-3.1-p","困难","功能迭代","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"4","开发项目落地跟踪与任务管理，支持项目创建、任务分配和进度追踪","DeepSeek-V4-Pro","困难","功能迭代","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"4","开发项目落地跟踪与任务管理，支持项目创建、任务分配和进度追踪","Doubao-Seed-2.0-Code","困难","功能迭代","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"4","开发项目落地跟踪与任务管理，支持项目创建、任务分配和进度追踪","GLM-5.1","困难","功能迭代","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"5","构建项目沉淀归档系统，支持项目成果归档和知识沉淀","gpt-5.4","困难","测试","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"5","构建项目沉淀归档系统，支持项目成果归档和知识沉淀","gemini-3.1-p","困难","测试","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"5","构建项目沉淀归档系统，支持项目成果归档和知识沉淀","DeepSeek-V4-Pro","困难","测试","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"5","构建项目沉淀归档系统，支持项目成果归档和知识沉淀","Doubao-Seed-2.0-Code","困难","测试","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"5","构建项目沉淀归档系统，支持项目成果归档和知识沉淀","Qwen3.6-Plus","困难","测试","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"6","实现数据统计仪表盘，展示项目数量、评审状态、任务进度等关键指标","gpt-5.4","困难","DevOps / 工程化","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"6","实现数据统计仪表盘，展示项目数量、评审状态、任务进度等关键指标","gemini-3.1-p","困难","DevOps / 工程化","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"6","实现数据统计仪表盘，展示项目数量、评审状态、任务进度等关键指标","DeepSeek-V4-Pro","困难","DevOps / 工程化","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"6","实现数据统计仪表盘，展示项目数量、评审状态、任务进度等关键指标","Doubao-Seed-2.0-Code","困难","DevOps / 工程化","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"6","实现数据统计仪表盘，展示项目数量、评审状态、任务进度等关键指标","MinMax-M2.7","困难","DevOps / 工程化","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"7","搭建跨部门协作通知与消息系统，支持站内消息和状态变更提醒","gpt-5.4","困难","代码生成","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"7","搭建跨部门协作通知与消息系统，支持站内消息和状态变更提醒","gemini-3.1-p","困难","代码生成","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"7","搭建跨部门协作通知与消息系统，支持站内消息和状态变更提醒","DeepSeek-V4-Pro","困难","代码生成","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"7","搭建跨部门协作通知与消息系统，支持站内消息和状态变更提醒","Doubao-Seed-2.0-Code","困难","代码生成","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
"7","搭建跨部门协作通知与消息系统，支持站内消息和状态变更提醒","GLM-5.1","困难","代码生成","Java,Spring Boot,Thymeleaf,H2","创意提报,评审流转,项目管理,任务跟进,归档"
